mf_scheme_code,scheme_name_raw,fund_name_base,isin_growth,fund_house,scheme_category,scheme_type,sync_status,nav_rows,first_nav_date,last_nav_date
118421,Bandhan Focused Fund - Direct Plan - Growth,Bandhan Focused Fund,INF194K01W21,Bandhan Mutual Fund,Equity Scheme - Focused Fund,Open Ended Schemes,ok,2814,2015-01-01,2026-05-26
118424,BANDHAN Flexi Cap Fund-Direct Plan-Growth,BANDHAN Flexi Cap Fund,INF194K01W62,Bandhan Mutual Fund,Equity Scheme - Flexi Cap Fund,Open Ended Schemes,ok,2814,2015-01-01,2026-05-26
118452,IDBI Equity Savings Fund Growth Option Direct,IDBI Equity Savings Fund,nan,IDBI Mutual Fund,Hybrid Scheme - Equity Savings,Open Ended Schemes,ok,2097,2015-01-01,2023-07-27
118469,BANDHAN Infrastructure Fund-Direct Plan-Growth,BANDHAN Infrastructure Fund,INF194K01X46,Bandhan Mutual Fund,Equity Scheme - Sectoral/ Thematic,Open Ended Schemes,ok,2814,2015-01-01,2026-05-26
118473,BANDHAN ELSS Tax Saver Fund - Direct Plan - Growth,BANDHAN ELSS Tax Saver Fund,INF194K01Y29,Bandhan Mutual Fund,Equity Scheme - ELSS,Open Ended Schemes,ok,2814,2015-01-01,2026-05-26
118474,BANDHAN Arbitrage Fund-Direct Plan- Growth,BANDHAN Arbitrage Fund,INF194K01Y60,Bandhan Mutual Fund,Hybrid Scheme - Arbitrage Fund,Open Ended Schemes,ok,2814,2015-01-01,2026-05-26
118477,BANDHAN Equity Savings Fund-Direct Plan-Growth,BANDHAN Equity Savings Fund,INF194K01Z02,Bandhan Mutual Fund,Hybrid Scheme - Equity Savings,Open Ended Schemes,ok,2814,2015-01-01,2026-05-26
118479,BANDHAN Large Cap Fund-Direct Plan-Growth,BANDHAN Large Cap Fund,INF194K01Z44,Bandhan Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,ok,2814,2015-01-01,2026-05-26
118481,Bandhan Value Fund - Direct Plan - Growth,Bandhan Value Fund,INF194K01Z85,Bandhan Mutual Fund,Equity Scheme - Value Fund,Open Ended Schemes,ok,2814,2015-01-01,2026-05-26
118491,BANDHAN Conservative Hybrid Fund-Direct Plan-Growth,BANDHAN Conservative Hybrid Fund,INF194K015B9,Bandhan Mutual Fund,Hybrid Scheme - Conservative Hybrid Fund,Open Ended Schemes,ok,2762,2015-01-01,2026-05-26
118494,Templeton India Value Fund - Direct - Growth,Templeton India Value Fund,INF090I01GY2,Franklin Templeton Mutual Fund,Equity Scheme - Value Fund,Open Ended Schemes,ok,2805,2015-01-01,2026-05-26
118510,Franklin India Large & Mid Cap Fund - Direct - Growth,Franklin India Large & Mid Cap Fund,INF090I01IN1,Franklin Templeton Mutual Fund,Equity Scheme - Large & Mid Cap Fund,Open Ended Schemes,ok,2805,2015-01-01,2026-05-26
118525,Franklin India Small Cap Fund - Direct - Growth,Franklin India Small Cap Fund,INF090I01IQ4,Franklin Templeton Mutual Fund,Equity Scheme - Small Cap Fund,Open Ended Schemes,ok,2806,2015-01-01,2026-05-26
118531,Franklin India Large Cap Fund- Direct - Growth,Franklin India Large Cap Fund,INF090I01FN7,Franklin Templeton Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,ok,2805,2015-01-01,2026-05-26
118533,Franklin India Mid Cap Fund - Direct - Growth,Franklin India Mid Cap Fund,INF090I01FH9,Franklin Templeton Mutual Fund,Equity Scheme - Mid Cap Fund,Open Ended Schemes,ok,2806,2015-01-01,2026-05-26
118535,Franklin India Flexi Cap Fund - Direct - Growth,Franklin India Flexi Cap Fund,INF090I01FK3,Franklin Templeton Mutual Fund,Equity Scheme - Flexi Cap Fund,Open Ended Schemes,ok,2806,2015-01-01,2026-05-26
118537,Franklin India Technology Fund - Direct - Growth,Franklin India Technology Fund,INF090I01FE6,Franklin Templeton Mutual Fund,Equity Scheme - Sectoral/ Thematic,Open Ended Schemes,ok,2803,2015-01-01,2026-05-26
118539,Franklin India Opportunities Fund - Direct - Growth,Franklin India Opportunities Fund,INF090I01GC8,Franklin Templeton Mutual Fund,Equity Scheme - Sectoral/ Thematic,Open Ended Schemes,ok,2805,2015-01-01,2026-05-26
118540,Franklin India ELSS Tax Saver Fund - Direct - Growth,Franklin India ELSS Tax Saver Fund,INF090I01JS8,Franklin Templeton Mutual Fund,Equity Scheme - ELSS,Open Ended Schemes,ok,2806,2015-01-01,2026-05-26
118546,Franklin India Aggressive Hybrid Fund - Direct - Growth,Franklin India Aggressive Hybrid Fund,INF090I01FZ1,Franklin Templeton Mutual Fund,Hybrid Scheme - Aggressive Hybrid Fund,Open Ended Schemes,ok,2806,2015-01-01,2026-05-26
118557,Franklin Build India Fund - Direct - Growth,Franklin Build India Fund,INF090I01JF5,Franklin Templeton Mutual Fund,Equity Scheme - Sectoral/ Thematic,Open Ended Schemes,ok,2806,2015-01-01,2026-05-26
118559,Franklin Asian Equity Fund - Direct - Growth,Franklin Asian Equity Fund,INF090I01IZ5,Franklin Templeton Mutual Fund,Equity Scheme - Sectoral/ Thematic,Open Ended Schemes,ok,2805,2015-01-01,2026-05-26
118564,Franklin India Focused Equity Fund - Direct - Growth,Franklin India Focused Equity Fund,INF090I01IW2,Franklin Templeton Mutual Fund,Equity Scheme - Focused Fund,Open Ended Schemes,ok,2806,2015-01-01,2026-05-26
118574,Franklin India Conservative Hybrid Fund - Direct - GROWTH,Franklin India Conservative Hybrid Fund,INF090I01GF1,Franklin Templeton Mutual Fund,Hybrid Scheme - Conservative Hybrid Fund,Open Ended Schemes,ok,2806,2015-01-01,2026-05-26
118577,Franklin India Liquid Fund - Super Institutional - Direct - Growth,Franklin India Liquid Fund - Super Institutional,INF090I01JV2,Franklin Templeton Mutual Fund,Debt Scheme - Liquid Fund,Open Ended Schemes,ok,3523,2015-01-01,2026-05-26
118585,Nippon India Arbitrage Fund - Direct Plan Growth Plan - Growth Option,Nippon India Arbitrage Fund - Direct Plan Growth Plan,INF204K01XZ7,Nippon India Mutual Fund,Hybrid Scheme - Arbitrage Fund,Open Ended Schemes,ok,2805,2015-01-01,2026-05-26
118589,Nippon India Banking & Financial Services Fund - Direct Plan Growth Plan - Growth Option,Nippon India Banking & Financial Services Fund - Direct Plan Growth Plan,INF204K01XO1,Nippon India Mutual Fund,Equity Scheme - Sectoral/ Thematic,Open Ended Schemes,ok,2806,2015-01-01,2026-05-26
118610,Reliance Liquid Fund - Cash Plan - Direct Plan - Growth Plan - Growth Option,Reliance Liquid Fund - Cash Plan - Direct Plan - Growth Plan,nan,Reliance Mutual Fund,Direct,139259;INF192K01LC8;-;JM Liquid Fund Unclaimed Redemption IEF,ok,1080,2015-01-01,2018-05-20
118615,Edelweiss Balanced Advantage Fund -Direct Plan-Growth Option,Edelweiss Balanced Advantage Fund,INF754K01BS2,Edelweiss Mutual Fund,Hybrid Scheme - Dynamic Asset Allocation or Balanced Advantage,Open Ended Schemes,ok,2807,2015-01-01,2026-05-26
118617,Edelweiss Large Cap Fund - Direct Plan-Growth option,Edelweiss Large Cap Fund,INF754K01BW4,Edelweiss Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,ok,2807,2015-01-01,2026-05-26
118620,Edelweiss ELSS Tax Saver Fund - Direct Plan-Growth Option,Edelweiss ELSS Tax Saver Fund,INF754K01CA8,Edelweiss Mutual Fund,Equity Scheme - ELSS,Open Ended Schemes,ok,2808,2015-01-01,2026-05-26
118624,Edelweiss Aggressive Hybrid Fund-Direct Plan-Growth Option,Edelweiss Aggressive Hybrid Fund,INF754K01CE0,Edelweiss Mutual Fund,Hybrid Scheme - Aggressive Hybrid Fund,Open Ended Schemes,ok,2808,2015-01-01,2026-05-26
118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Nippon India Large Cap Fund - Direct Plan Growth Plan,INF204K01XI3,Nippon India Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,ok,2806,2015-01-01,2026-05-26
118636,Edelweiss Liquid Fund-Direct Plan-Growth Option,Edelweiss Liquid Fund,nan,Edelweiss Mutual Fund,Income,Open Ended Schemes,ok,571,2015-01-01,2016-11-25
118650,Nippon India Multi Cap Fund - Direct Plan Growth Plan - Growth Option,Nippon India Multi Cap Fund - Direct Plan Growth Plan,INF204K01XF9,Nippon India Mutual Fund,Equity Scheme - Multi Cap Fund,Open Ended Schemes,ok,2806,2015-01-01,2026-05-26
118668,Nippon India Growth Mid Cap Fund - Direct Plan Growth Plan - Growth Option,Nippon India Growth Mid Cap Fund - Direct Plan Growth Plan,INF204K01E54,Nippon India Mutual Fund,Equity Scheme - Mid Cap Fund,Open Ended Schemes,ok,2806,2015-01-01,2026-05-26
118678,Nippon India Vision Large & Mid Cap Fund - Direct Plan Growth Plan - Growth Option,Nippon India Vision Large & Mid Cap Fund - Direct Plan Growth Plan,INF204K01F20,Nippon India Mutual Fund,Equity Scheme - Large & Mid Cap Fund,Open Ended Schemes,ok,2806,2015-01-01,2026-05-26
118692,Nippon India Focused Fund - Direct Plan Growth Plan - Growth Option,Nippon India Focused Fund - Direct Plan Growth Plan,INF204K01F95,Nippon India Mutual Fund,Equity Scheme - Focused Fund,Open Ended Schemes,ok,2806,2015-01-01,2026-05-26
118701,Nippon India Liquid Fund - Direct Plan Growth Plan - Growth Option,Nippon India Liquid Fund - Direct Plan Growth Plan,INF204K01ZH0,Nippon India Mutual Fund,Debt Scheme - Liquid Fund,Open Ended Schemes,ok,3565,2015-01-01,2026-05-26
118724,Nippon India Consumption Fund - Direct Plan Growth Plan - Growth Option,Nippon India Consumption Fund - Direct Plan Growth Plan,INF204K01G52,Nippon India Mutual Fund,Equity Scheme - Sectoral/ Thematic,Open Ended Schemes,ok,2806,2015-01-01,2026-05-26
118726,Nippon India Conservative Hybrid  Fund - Direct Plan Growth Plan - Growth Option,Nippon India Conservative Hybrid Fund - Direct Plan Growth Plan,INF204K01YV4,Nippon India Mutual Fund,Hybrid Scheme - Conservative Hybrid Fund,Open Ended Schemes,ok,2754,2015-01-01,2026-05-26
118736,Nippon India Balanced Advantage Fund - Direct Plan Growth Plan - Growth Option,Nippon India Balanced Advantage Fund - Direct Plan Growth Plan,INF204K01G94,Nippon India Mutual Fund,Hybrid Scheme - Dynamic Asset Allocation or Balanced Advantage,Open Ended Schemes,ok,2805,2015-01-01,2026-05-26
118759,Nippon India Pharma Fund - Direct Plan Growth Plan - Growth Option,Nippon India Pharma Fund - Direct Plan Growth Plan,INF204K01I50,Nippon India Mutual Fund,Equity Scheme - Sectoral/ Thematic,Open Ended Schemes,ok,2806,2015-01-01,2026-05-26
118763,Nippon India Power & Infra Fund - Direct Plan Growth Plan - Growth Option,Nippon India Power & Infra Fund - Direct Plan Growth Plan,INF204K01I92,Nippon India Mutual Fund,Equity Scheme - Sectoral/ Thematic,Open Ended Schemes,ok,2806,2015-01-01,2026-05-26
118769,Nippon India Quant Fund - Direct Plan Growth Plan - Growth Option,Nippon India Quant Fund - Direct Plan Growth Plan,INF204K01J34,Nippon India Mutual Fund,Equity Scheme - Sectoral/ Thematic,Open Ended Schemes,ok,2806,2015-01-01,2026-05-26
118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,Nippon India Small Cap Fund - Direct Plan Growth Plan,INF204K01K15,Nippon India Mutual Fund,Equity Scheme - Small Cap Fund,Open Ended Schemes,ok,2805,2015-01-01,2026-05-26
118784,Nippon India Value Fund - Direct Plan Growth Plan,Nippon India Value Fund - Direct Plan Growth Plan,INF204K01K49,Nippon India Mutual Fund,Equity Scheme - Value Fund,Open Ended Schemes,ok,2806,2015-01-01,2026-05-26
118794,Nippon India Aggressive Hybrid Fund  - Direct Plan Growth Plan,Nippon India Aggressive Hybrid Fund - Direct Plan Growth Plan,INF204K01B08,Nippon India Mutual Fund,Hybrid Scheme - Aggressive Hybrid Fund,Open Ended Schemes,ok,2805,2015-01-01,2026-05-26
118803,Nippon India ELSS Tax Saver Fund - Direct Plan Growth Plan - Growth Option,Nippon India ELSS Tax Saver Fund - Direct Plan Growth Plan,INF204K01L55,Nippon India Mutual Fund,Equity Scheme - ELSS,Open Ended Schemes,ok,2806,2015-01-01,2026-05-26
118825,Mirae Asset Large Cap Fund - Direct Plan - Growth,Mirae Asset Large Cap Fund,INF769K01AX2,Mirae Asset Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,ok,2806,2015-01-01,2026-05-26
118834,Mirae Asset Large & Midcap Fund - Direct Plan - Growth,Mirae Asset Large & Midcap Fund,INF769K01BI1,Mirae Asset Mutual Fund,Equity Scheme - Large & Mid Cap Fund,Open Ended Schemes,ok,2806,2015-01-01,2026-05-26
118837,Mirae Asset Great Consumer Fund - Direct Plan - Growth,Mirae Asset Great Consumer Fund,INF769K01BL5,Mirae Asset Mutual Fund,Equity Scheme - Sectoral/ Thematic,Open Ended Schemes,ok,2806,2015-01-01,2026-05-26
118857,Mirae Asset Liquid Fund - Direct Plan - Growth,Mirae Asset Liquid Fund,nan,Mirae Asset Mutual Fund,Income,Open Ended Schemes,ok,0,,
118859,Mirae Asset Liquid Fund - Direct Plan - Growth,Mirae Asset Liquid Fund,INF769K01CM1,Mirae Asset Mutual Fund,Debt Scheme - Liquid Fund,Open Ended Schemes,ok,3426,2015-01-01,2026-05-26
118866,Taurus ELSS Tax Saver Fund - Direct Plan - Growth,Taurus ELSS Tax Saver Fund,INF044D01CG6,Taurus Mutual Fund,Equity Scheme - ELSS,Open Ended Schemes,ok,2808,2015-01-01,2026-05-26
118868,Taurus Banking & Financial Services Fund - Direct Plan - Growth,Taurus Banking & Financial Services Fund,INF044D01CN2,Taurus Mutual Fund,Equity Scheme - Sectoral/ Thematic,Open Ended Schemes,ok,2808,2015-01-01,2026-05-26
118870,Taurus Large Cap Fund - Direct Plan - Growth,Taurus Large Cap Fund,INF044D01BX3,Taurus Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,ok,2808,2015-01-01,2026-05-26
118872,Taurus Mid Cap Fund - Direct Plan - Growth,Taurus Mid Cap Fund,INF044D01CA9,Taurus Mutual Fund,Equity Scheme - Mid Cap Fund,Open Ended Schemes,ok,2808,2015-01-01,2026-05-26
118876,Taurus Ethical Fund - Direct Plan - Growth,Taurus Ethical Fund,INF044D01CJ0,Taurus Mutual Fund,Equity Scheme - Sectoral/ Thematic,Open Ended Schemes,ok,2808,2015-01-01,2026-05-26
118879,Taurus Infrastructure Fund - Direct Plan - Growth,Taurus Infrastructure Fund,INF044D01CD3,Taurus Mutual Fund,Equity Scheme - Sectoral/ Thematic,Open Ended Schemes,ok,2808,2015-01-01,2026-05-26
118883,Taurus Flexi Cap Fund - Direct Plan - Growth,Taurus Flexi Cap Fund,INF044D01BU9,Taurus Mutual Fund,Equity Scheme - Flexi Cap Fund,Open Ended Schemes,ok,2808,2015-01-01,2026-05-26
118893,Taurus Liquid Fund-Direct Plan-SI Growth Option,Taurus Liquid Fund - Direct Plan-SI Growth Option,nan,Taurus Mutual Fund,Debt Scheme - Liquid Fund,Open Ended Schemes,ok,1791,2015-01-01,2020-11-03
118929,HDFC Long Term Advantage Plan - Growth Option - Direct Plan,HDFC Long Term Advantage Plan,nan,HDFC Mutual Fund,Equity Scheme - ELSS,Open Ended Schemes,ok,1735,2015-01-01,2022-01-14
118931,HDFC ARBITRAGE FUND - Growth Option - Direct Plan,HDFC ARBITRAGE FUND,INF179K01UU8,HDFC Mutual Fund,Hybrid Scheme - Arbitrage Fund,Open Ended Schemes,ok,2803,2015-01-01,2026-05-21
118935,HDFC Value Fund - Growth Option - Direct Plan,HDFC Value Fund,INF179K01VC4,HDFC Mutual Fund,Equity Scheme - Value Fund,Open Ended Schemes,ok,2806,2015-01-01,2026-05-26
118950,HDFC Focused Fund - Growth Option - Direct Plan,HDFC Focused Fund,INF179K01VK7,HDFC Mutual Fund,Equity Scheme - Focused Fund,Open Ended Schemes,ok,2806,2015-01-01,2026-05-26
118955,HDFC Flexi Cap Fund - Growth Option - Direct Plan,HDFC Flexi Cap Fund,INF179K01UT0,HDFC Mutual Fund,Equity Scheme - Flexi Cap Fund,Open Ended Schemes,ok,2806,2015-01-01,2026-05-26
118968,HDFC Balanced Advantage Fund - Growth Plan - Direct Plan,HDFC Balanced Advantage Fund - Growth Plan,INF179K01WA6,HDFC Mutual Fund,Hybrid Scheme - Dynamic Asset Allocation or Balanced Advantage,Open Ended Schemes,ok,2806,2015-01-01,2026-05-26
118979,HDFC Infrastructure Fund - Growth Option - Direct Plan,HDFC Infrastructure Fund,INF179K01WQ2,HDFC Mutual Fund,Equity Scheme - Sectoral/ Thematic,Open Ended Schemes,ok,2806,2015-01-01,2026-05-26
118989,HDFC Mid Cap Fund - Growth Option - Direct Plan,HDFC Mid Cap Fund,INF179K01XQ0,HDFC Mutual Fund,Equity Scheme - Mid Cap Fund,Open Ended Schemes,ok,2806,2015-01-01,2026-05-26
119018,HDFC Large Cap Fund - Growth Option - Direct Plan,HDFC Large Cap Fund,INF179K01YV8,HDFC Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,ok,2806,2015-01-01,2026-05-26
119019,DSP Aggressive Hybrid Fund - Direct Plan - Growth,DSP Aggressive Hybrid Fund,INF740K01NY4,DSP Mutual Fund,Hybrid Scheme - Aggressive Hybrid Fund,Open Ended Schemes,ok,2809,2015-01-01,2026-05-26
119028,DSP Natural Resources and New Energy Fund - Direct Plan - Growth,DSP Natural Resources and New Energy Fund,INF740K01QA7,DSP Mutual Fund,Equity Scheme - Sectoral/ Thematic,Open Ended Schemes,ok,2727,2015-01-02,2026-05-26
119053,Tata Aggressive Hybrid Fund -Direct Plan- Growth Option,Tata Aggressive Hybrid Fund,INF277K01MN2,Tata Mutual Fund,Hybrid Scheme - Aggressive Hybrid Fund,Open Ended Schemes,ok,2806,2015-01-01,2026-05-26
119060,HDFC ELSS Tax saver - Growth Option - Direct Plan,HDFC ELSS Tax saver,INF179K01YS4,HDFC Mutual Fund,Equity Scheme - ELSS,Open Ended Schemes,ok,2806,2015-01-01,2026-05-26
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,HDFC Hybrid Equity Fund,INF179K01XZ1,HDFC Mutual Fund,Hybrid Scheme - Aggressive Hybrid Fund,Open Ended Schemes,ok,2806,2015-01-01,2026-05-26
119071,DSP Midcap Fund - Direct Plan - Growth,DSP Midcap Fund,INF740K01PX1,DSP Mutual Fund,Equity Scheme - Mid Cap Fund,Open Ended Schemes,ok,2808,2015-01-01,2026-05-26
119076,DSP Flexi Cap Fund - Direct Plan - Growth,DSP Flexi Cap Fund,INF740K01PI2,DSP Mutual Fund,Equity Scheme - Flexi Cap Fund,Open Ended Schemes,ok,2808,2015-01-01,2026-05-26
119091,HDFC Liquid Fund - Growth Option - Direct Plan,HDFC Liquid Fund,INF179KB1HP9,HDFC Mutual Fund,Debt Scheme - Liquid Fund,Open Ended Schemes,ok,3521,2015-01-01,2026-05-26
119096,DSP Focused Fund - Direct Plan - Growth,DSP Focused Fund,INF740K01OB0,DSP Mutual Fund,Equity Scheme - Focused Fund,Open Ended Schemes,ok,2808,2015-01-01,2026-05-26
119118,HDFC Hybrid Debt Fund - Growth Option - Direct Plan,HDFC Hybrid Debt Fund,INF179K01XE6,HDFC Mutual Fund,Hybrid Scheme - Conservative Hybrid Fund,Open Ended Schemes,ok,2755,2015-01-01,2026-05-26
119125,DSP Liquidity Fund - Direct Plan - Growth,DSP Liquidity Fund,INF740K01QL4,DSP Mutual Fund,Debt Scheme - Liquid Fund,Open Ended Schemes,ok,3589,2015-01-01,2026-05-26
119128,HDFC Equity Savings Fund - Growth Option - Direct Plan,HDFC Equity Savings Fund,INF179K01XT4,HDFC Mutual Fund,Hybrid Scheme - Equity Savings,Open Ended Schemes,ok,2802,2015-01-01,2026-05-26
119131,HDFC Multi-Asset Fund - Growth Option - Direct Plan,HDFC Multi-Asset Fund,INF179K01XW8,HDFC Mutual Fund,Hybrid Scheme - Multi Asset Allocation,Open Ended Schemes,ok,2788,2015-01-01,2026-05-26
119133,Groww Largecap Fund (formerly known as Indiabulls Blue Chip Fund) - Direct Plan - Growth Option,Groww Largecap Fund (formerly known as Indiabulls Blue Chip Fund),INF666M01600,Groww Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,ok,2807,2015-01-01,2026-05-26
119135,Groww Liquid Fund ( formerly known as Indiabulls Liquid )Fund - Direct Plan - Growth Option,Groww Liquid Fund ( formerly known as Indiabulls Liquid )Fund,INF666M01451,Groww Mutual Fund,Debt Scheme - Liquid Fund,Open Ended Schemes,ok,3597,2015-01-01,2026-05-26
119148,Navi Large Cap Equity Fund-Direct Plan-Growth Option,Navi Large Cap Equity Fund,nan,Navi Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,ok,1859,2015-01-01,2022-07-15
119156,Navi Conservative Hybrid Fund-Direct Plan-Growth Option,Navi Conservative Hybrid Fund,nan,Navi Mutual Fund,Hybrid Scheme - Conservative Hybrid Fund,Open Ended Schemes,ok,2392,2015-01-01,2024-11-14
119160,Tata Large Cap Fund -Direct Plan Growth Option,Tata Large Cap Fund,INF277K01QZ7,Tata Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,ok,2806,2015-01-01,2026-05-26
119164,Navi Liquid Fund-Direct Plan-Growth Option,Navi Liquid Fund,INF959L01GF1,Navi Mutual Fund,Debt Scheme - Liquid Fund,Open Ended Schemes,ok,3441,2015-01-01,2026-05-26
119172,Tata Ethical Fund -Direct Plan- Growth Option,Tata Ethical Fund,INF277K01NG4,Tata Mutual Fund,Equity Scheme - Sectoral/ Thematic,Open Ended Schemes,ok,2806,2015-01-01,2026-05-26
119173,Morgan Stanley Liquid Fund - Direct Growth Plan,Morgan Stanley Liquid Fund - Direct Growth Plan,nan,Morgan Stanley Mutual Fund,Income,Open Ended Schemes,ok,0,,
119176,Navi 3 in 1 Fund-Direct Plan-Growth Option,Navi 3 in 1 Fund,nan,Navi Mutual Fund,Hybrid Scheme - Multi Asset Allocation,Open Ended Schemes,ok,1840,2015-01-01,2022-07-15
119178,Tata Mid Cap Fund - Direct Plan- Growth Option,Tata Mid Cap Fund,INF277K01PY2,Tata Mutual Fund,Equity Scheme - Mid Cap Fund,Open Ended Schemes,ok,2806,2015-01-01,2026-05-26
119181,Daiwa Liquid Fund - Direct - Growth,Daiwa Liquid Fund,nan,Daiwa Mutual Fund,Income,Open Ended Schemes,ok,0,,
119202,Tata Large & MId Cap Fund -Direct Plan- Growth Option,Tata Large & MId Cap Fund,INF277K01MK8,Tata Mutual Fund,Equity Scheme - Large & Mid Cap Fund,Open Ended Schemes,ok,2806,2015-01-01,2026-05-26
119212,DSP Small Cap Fund - Direct Plan - Growth,DSP Small Cap Fund,INF740K01QD1,DSP Mutual Fund,Equity Scheme - Small Cap Fund,Open Ended Schemes,ok,2808,2015-01-01,2026-05-26
119218,DSP Large & Mid Cap Fund - Direct Plan - Growth,DSP Large & Mid Cap Fund,INF740K01PL6,DSP Mutual Fund,Equity Scheme - Large & Mid Cap Fund,Open Ended Schemes,ok,2808,2015-01-01,2026-05-26
119231,Tata Value Fund -Direct Plan Growth Option,Tata Value Fund,INF277K01ND1,Tata Mutual Fund,Equity Scheme - Value Fund,Open Ended Schemes,ok,2806,2015-01-01,2026-05-26
119242,DSP ELSS Tax Saver Fund - Direct Plan - Growth,DSP ELSS Tax Saver Fund,INF740K01OK1,DSP Mutual Fund,Equity Scheme - ELSS,Open Ended Schemes,ok,2808,2015-01-01,2026-05-26
